Ticker,ATR14,First15_High,First15_Low,First15_Range,Threshold_0.2_ATR,Range_over_ATR
KLAC,38.2936,1284.9999,1277.2,7.7999,7.6587,0.204
ACN,5.7579,271.0,269.8285,1.1715,1.1516,0.203
TTWO,4.2686,250.99,250.122,0.868,0.8537,0.203
VRTX,8.8314,463.65,461.86,1.79,1.7663,0.203
NXPI,5.6064,225.64,224.5,1.14,1.1213,0.203
ADI,4.9964,277.98,276.97,1.01,0.9993,0.202
CTVA,1.0392,67.5,67.29,0.21,0.2078,0.202
CDW,3.4693,138.71,138.01,0.7,0.6939,0.202
CMCSA,0.7907,29.85,29.69,0.16,0.1581,0.202
ETN,8.7729,323.53,321.76,1.77,1.7546,0.202
PCG,0.2986,15.85,15.79,0.06,0.0597,0.201
OTIS,1.2419,87.99,87.74,0.25,0.2484,0.201
VTR,1.4464,79.8,79.51,0.29,0.2893,0.2
CNC,1.2479,40.0696,39.82,0.2496,0.2496,0.2
